pair_id	premise	hypothesis	annotation_1	comment_1	annotator1_id	annotation_2	comment_2	annotator2_id	annotation_3	comment_3	annotator3_id	annotation_FINAL	label
P10	A to pot se je končalo s popolno katastrofo Francozov.	Francozi tokrat ne bi mogli biti bolj zadovoljni z izidom.	C		annotator_B	C		annotator_A				C	contradiction
P11	Zaželena je univerzitetna visokošolska izobrazba na področju računalniške programske opreme ali gradbeništva.	Preferirajo kadidate z diplomo s področja računalništva ali gradbeništva.	E		annotator_D	E		annotator_A				E	entailment
P12	Sestavine za testo zmešamo v krhko testo in ga damo za 1 uro v hladilnik.	Ko sestavine zmešamo v rahlo testo, tega takoj damo v pečico.	C		annotator_C	C		annotator_A				C	contradiction
P13	DRVA, mešana, kratko žagana z dostavo, prodamo.	Prodajamo različne vrste drv, ki jih lahko naročite vnaprej.	N		annotator_B	N		annotator_A				N	neutral
P14	Vso prvo polovico meseca boste čutili, da ima nekako vse nežen pridih, crkljanje boste pogrešali v vsakem trenutku.	V prvi polovici prvega tedna v mesecu boste na vsakem koraku začutili nežnost, želeli se boste pocrkljati.	N		annotator_C	C		annotator_A					neutral
P15	»Kaj bi rad?« ga je vprašal Rodrrigos.	Rodriggos mu je namenil svojo pozornost.	N		annotator_B	N		annotator_A				N	neutral
P16	Še velikokrat sva se tesno objela in spet in spet mi je prišlo.	Kljub intenzivnemu objemanju se ni več zgodil vrhunec.	C		annotator_C	C		annotator_A				C	contradiction
P17	Pot po grebenu in povratek sta tehnično lažja, vendar orientacijsko zahtevnejša.	Pot vzdolž slemena je tudi v nasprotni smeri lahka, a ji zelo težko sledimo.	E		annotator_G	E		annotator_A				E	entailment
P18	Kuhano meso zrežemo na centimeter debele kose in dušimo v posodi na čebuli in olju.	Ko kuhano meso dušimo v posodi, hkrati začnemo pripravljati riž z zelenjavo.	N		annotator_D	C		annotator_A					neutral
P19	Velika skupinska slika udeležencev likovne delavnice je med obiskovalci zbujala precej zanimanja.	Nemalo obiskovalcev se je pogosto ustavljajo ob ogromni skupinski sliki vseh, ki so se udeležili likovne delavnice.	E		annotator_B	E		annotator_A				E	entailment
P20	Koralni greben je sestavljen iz koral – kolonij drobnih živalic, imenovanih polipi, ki imajo oporno snov iz apnenca.	Koralni greben je tvorba, sestavljena iz mrtvih organizmov.	C		annotator_C	C		annotator_A				C	contradiction
P21	A se mi zdi, da tega ne bosta upala tvegati.	Tudi, če to izgubita, se jima splača tvegati.	C		annotator_B	N		annotator_A					contradiction
P22	Razbijalo ji je v njej in v nogah je bila šibka.	Imela se je pod čistim nadzorom in bila povsem mirna.	C		annotator_B	C		annotator_A				C	contradiction
P23	Sama sem si bila kriva; kaj pa sem se pustila prepričati v to traparijo.	Krivdo za storjeno bedarijo sem pripisala drugim.	C		annotator_C	C		annotator_A				C	contradiction
P24	Madžari petih minut prednosti niso izkoristili; slovenski vratar Kristan ni imel veliko dela, v celotni tretjini je moral posredovati le dvakrat.	Madžari pa so na jeseniški turnir poslali pomlajeno zasedbo, v kateri sta bili le prvi peterki iz ekipe, ki je potem na svetovnem prvenstvu izgubila proti Sloveniji z 1:4.	N		annotator_G	N	Hipoteza vključuje nove informacije, ki jih iz predpostavke ne moremo razbrati.	annotator_A				N	neutral
P25	Na robu jase se je mrak zgostil, videti je bilo samo drobne iskrice, ujete v živo koralno ogrodje.	Na sredi jase ni bilo tako temno kot na robu, kjer se je videlo le živo koralno ogrodje, v katerega so bile ujete majhne iskrice.	E		annotator_B	E		annotator_A				E	entailment
P26	Dejstvo, da redno in sistematično ter pravilno ukvarjanje s športom krepi zdravje, je posledica ugodnih učinkov telesne vadbe in gibanja na organizem človeka.	Fakt o redni in pravilno izvedeni športni aktivnosti kot razlogu za krepitev zdravja temelji na prijetnih učinkih telovadbe ter gibanja na človeško telo.	E		annotator_C	E		annotator_A				E	entailment
P27	Zdravila Venitan krema ne smete uporabljati po datumu izteka roka uporabnosti, ki je naveden na ovojnini poleg oznake »EXP:« Datum izteka roka uporabnosti se nanaša na zadnji dan navedenega meseca.	Venitan krema, namenjena zdravljenju, se po odprtju embalaže lahko uporablja, dokler vam je ne zmanjka. Če je na ovojnini naveden rok trajanja, ga zanemarite.	C		annotator_E	C	Dve povedi.	annotator_A				C	contradiction
P28	Kendra Wilkinson, ki z možem Hankom pričakuje prvega otroka, ima o nosečnosti mešane občutke.	Zakonca Wilkinson se ponovno veselita novega naraščaja, mož Hank pa je ob tem rahlo nesiguren.	C		annotator_F	N		annotator_A					contradiction
P29	Število 12,972.4556, shranjeno v tabeli, je lahko v poročilu prikazano kot $12,972.46, če format nastavimo na valuto.	Pri pisanju poročila je potrebno številke prikazati kot valute.	N		annotator_B	N		annotator_A				N	neutral
P30	KROMPIR JE MED TEMI RASTLINAMI ŠE NAJMANJ OKRASEN, ČUDOVITI PA SO RAZVIJAJOČI SE KORUZNI STORŽI S SVILNATIMI LASKI NA VRHU.	Zelenjavne rastline so primerne zgolj za gojenje na vrtu, saj je njihova edina namembnost dajanje plodov.	C		annotator_B	N	Hipoteza vključuje nove informacije, ki jih iz predpostavke ne moremo razbrati.	annotator_A					contradiction
P31	(2) Pred sodiščem Republike Slovenije se sme po pravu Republike Slovenije dokazovati smrt tujega državljana, ki je umrl na ozemlju Republike Slovenije.	(2) Smrt osebe, ki ni bila državljan RS, se dokazuje glede na pravo države, v kateri je imela državljanstvo.	C		annotator_C	C		annotator_A				C	contradiction
P32	Naslednji vzpon je iz doline Završnice, kjer sledimo označeni poti na Valvasorjev dom.	Iz doline Završnice nas povsem položna pot ne bo popeljala do Valvasorjevega doma.	C		annotator_B	N		annotator_A					contradiction
P33	(2) Začasno hranjeno carinsko blago se lahko hrani v skladu s prejšnjim odstavkom le v prostorih in pod pogoji, ki jih odobri carinski organ.	(2) Carinsko blago se lahko začasno hrani do dva dni (48 ur), če so za to primerni pogoji in je s tem seznanjen carinik.	N		annotator_D	N		annotator_A				N	neutral
P34	Upate, da vas bo zakonski partner »vrgel ven«.	Hrepenite po preživljanju časa s svojim zakoncem.	C		annotator_C	C		annotator_A				C	contradiction
P35	To sem storil samo zato, da se ognemo policiji.	Dejanje sem izvršil izključno z namenom izogibanja policiji.	E		annotator_C	E		annotator_A				E	entailment
P36	Davčni organ mora o tem izdati odločbo, s katero dolžnikovemu dolžniku naloži, da na davčni račun plača zarubljeno terjatev.	Zakon določa, da se v primeru, če dolžnikov dolžnik ne ravna po sklepu, s katerim je odrejena prisilna izterjava, dolg izterja.	N		annotator_G	N		annotator_A				N	neutral
P37	Naročnik zavrača očitane kršitve temeljnih načel in ugotavlja, da tudi napaka v pravnem pouku ni šla vlagatelju v škodo in mu tudi ni bilo onemogočeno pravno varstvo.	Stranka je v dokumentu priznala, da je s pogodbo kršil temeljna načela, kar pomeni, da je sedaj kazensko odgovorna in ji pravno varstvo nič več ne pripada.	C		annotator_G	N		annotator_A					contradiction
P38	Umaknil je revolver, poravnal klobuk na glavi in iztegnil roko skoz razbito steklo.	Še vedno z revolverjem v roki je segel skozi razbitine.	C		annotator_C	N		annotator_A					contradiction
P39	“Žal mi je, ker vam moram povedati, da se je zgodila strašanska nesreča, gospod Doe.	G. Doe ni obveščen o strašni nesreči.	C		annotator_C	C		annotator_A				C	contradiction
P40	Izboljšav je bilo deležno tudi podvozje, dodelali so natančnost krmila in s tem dosegli večje udobje in boljše vozne zmogljivosti.	Novi model avtomobila vsebuje izboljšano podvozje ter natančnejše krmilo, s čimer je vožnja z njim udobnejša.	N		annotator_C	E		annotator_A					neutral
P41	Zato je zelo pomembno, da veste, kako se tej stvari streže.	Ta stvar ni tako pomembna, zato je bolj ali manj vseeno, ali jo obvladate ali ne.	C		annotator_B	C		annotator_A				C	contradiction
P42	Nikoli ne bi šla na skrivaj z Dečkovim domnevno najboljšim prijateljem.	Pod nobenim pogojem ne bi skrivoma šla z Dečkovim menda najboljšim kolegom.	E		annotator_C	E		annotator_A				E	entailment
P43	Med navijaškimi skupinami so se v finale uvrstile skupine OŠ Pivka, OŠ Domžale, OŠ Cvetka Golarja, Škofja Loka, OŠ Log - Dragomer.	V finale sta se prebili navijaški skupini OŠ Domžale in OŠ Pivka, skupine Škofja Loka, OŠ Cvetka Golarja in OŠ Log - Dragomer pa so žal zapravile svojo možnost za prvo in drugo mesto.	C		annotator_B	C		annotator_A				C	contradiction
P44	Nauči me, da bom premagal strah pred ljudmi, kadar bi me ovirali, da ne bi priznal tebe.	Daj mi znanje premagovati strah pred osebami, ko bi mi onemogočale priznati tebe.	E		annotator_C	E		annotator_A				E	entailment
P45	»To je najlepši kompliment, ki sem ga kdaj dobila.«	Dejala je, da lepšega komplimenta še ni prejela.	E		annotator_C	E		annotator_A				E	entailment
P46	V železni ponvi segrejemo maščobo in v njej zlato rumeno opečemo kroglice.	Posodo postavimo na grelno ploščo in vanjo damo sestavine za kroglice.	N		annotator_F	C		annotator_A					neutral
P47	Možev finančni položaj se ne bo spremenil, vas pa prihodnje leto poleti čaka malo večji znesek, ki bo prišel po uradni poti.	Naslednje leto se bo vaš finančni položaj malce spremenil, finance vašega moža pa bodo ostajale enake kot letos.	N		annotator_B	C		annotator_A					neutral
P48	KO JE POPIL ČAJ, JE SPRAVIL TERMOVKO NAZAJ IN SE ODPRAVIL DO KRAJA, KJER JIH JE POBIL.	ODŠEL JE DO KRAJA, KJER JIH JE POBIL, V ROKI PA JE IMEL TERMOVKO, POLNO ČAJA.	C		annotator_C	C		annotator_A				C	contradiction
P49	Načelnik Upravne enote Novo mesto Jože Preskar nam je povedal, da se bo po zagotovilih investitorja, ministrstva za javno upravo, upravna enota selila v nove poslovne prostore konec oktobra prihodnje leto.	Po besedah načelnika novomeške upravne enote Jožeta Preskarja naj bi zanj že v kratkem našli primernejše mesto v pritličju ob vhodu v občinsko stavbo.	N		annotator_C	N		annotator_A				N	neutral
P50	Vso prvo polovico meseca boste čutili, da ima nekako vse nežen pridih, crkljanje boste pogrešali v vsakem trenutku.	Prve tri tedne v mesecu vas bo mil pridih spremljal vsepovsod, ves čas boste hrepeneli po razvajanju.	E		annotator_C	N		annotator_A					entailment
P51	Pokrito kuhamo od 20 do 25 minut, da se leča skuha in popije skoraj vso tekočino.	Pokrijemo, da se kuha slabe pol ure, v tem času pa leča popije večino vode.	E		annotator_C	E		annotator_A				E	entailment
P52	»Upam, da me bo pustil pri miru,« se je jezilo samo pri sebi.	Upalo je, da se mu ne bo več treba ukvarjati z njim.	E		initial-examples	E		annotator_A				E	entailment
P53	Začel je pritiskati na vzmeti in s prstnimi blazinicami otipavati konice, ki so kukale in se bliskovito izpodrivale.	Z vso silo se je uprl v vzmeti in s prsti otipal konice, ki so izstopale iz stene in se hitro izpodrivale.	N		annotator_C	N		annotator_A				N	neutral
P54	INŠTRUKTOR IZ PRTLJAŽNIKA V DRUGO POTOVALKO PRELOŽI PRECEJ VELIK ZAVOJ TRDE ČRNE PLASTIKE IN PA MODER DELOVNI PAJAC, KI GA PONAVADI UPORABLJAJO ZIDARJI.	Inštruktor je prestavil zidarsko delovno obleko in trdo temno črno plastiko iz prtljažnika iz prve potovalke v drugo.	N		annotator_B	N		annotator_A				N	neutral
P55	V juliju se že veselimo prvih jabolk, breskev, zgodnjih hrušk in marelic.	Sadje, kot na primer jabolka, breskve, zgodnje hruške in marelice, raste pozimi.	C		annotator_E	C		annotator_A				C	contradiction
P56	To častitljivo obletnico so počastili s številnimi prireditvami in z izdajo obsežnega zbornika.	Praznovali so stoletnico in ob tem pripravili dva koncerta ter izdali kratko brošuro.	C		annotator_C	N		annotator_A					contradiction
P57	Program vključuje likovne delavnice, kiparske, bodypainting, likovni jamm session, RAKU, video delavnice, odrske delavnice, glasbo, ples in igralne ure za najmlajše.	Program združuje najrazličnejše dejavnosti, in sicer: igralne urice, glasbo ter ples za malčke, odrske delavnice, video delavnice, RAKU, likovni jamm session, slikanje po telesu ter likovne in kiparske delavnice.	E		annotator_B	E		annotator_A				E	entailment
P58	Podpis: Zunajtelesne izkušnje so spontane oziroma hotene ločitve zavesti od fizičnega telesa.	Dokazano je, da tako imenovane zunajtelesne izkušnje, ki naj bi ločevale zavest od telesa pri človeku, dejansko ne obstajajo.	C		annotator_E	N		annotator_A					contradiction
P59	“Veš kaj, težava je v tem, da nisem ravno kaj prida kuhar.	“Sploh ni problema, z veseljem kaj skuham.“	C		annotator_B	N		annotator_A					contradiction
P60	Vendar se je anglikanska večina v grofijah na severu otoka (Ulster) na plebiscitu odločila, da ostane v okviru Velike Britanije.	Večji del anglikancev iz irske province Ulster je na referendumu izrazil svojo voljo, tj. samostojnost Irske.	C		annotator_C	C		annotator_A				C	contradiction
P61	V razpravo dajem 13. člen, h kateremu imamo več amandmajev.	V debati izostane 13. člen in prav tako vsi dodatni predlogi.	C		annotator_H	C		annotator_A				C	contradiction
P62	Tisti, ki se imajo radi, se ne bojijo, da jih drugi ne marajo.	Kdor ima rad sebe, je zaskrbljen, kako ga vidijo ostali.	C		annotator_C	C		annotator_A				C	contradiction
P63	Oblival ga je hladen pot, vendar je naposled uspel.	Ne glede na vse napore ni uspel.	C		annotator_C	C		annotator_A				C	contradiction
P64	Sedem celinskih plošč tvori skupaj z oceanskimi ploščami zemeljsko *skorjo.	Naša zemeljska mati je v resnici ena sama celina in brez ugovora.	C		annotator_H	N		annotator_A					contradiction
P65	svetlobno leto Razdalja, ki jo svetloba (ki prodira skozi prazen prostor) prepotuje v enem letu - 9,5 milijonov milijonov kilometrov.	V obdobju, ko Zemlja obkroži Sonce, svetloba v praznem prostoru miruje, delci fotoni v tem času torej ne spreminjajo svoje pozicije.	C		annotator_F	N	Neustrezen primer.	annotator_A					contradiction
P66	“Nisem jih držal, zato ker ste vi ženska, ampak zato, ker sem jaz gentleman!“	“Vseeno mi je bilo, za koga je šlo, vrata sem držal, ker spoštujem pravila uglajenega vedenja.“	N		annotator_C	E		annotator_A					neutral
P67	Nikdar si ni mislil, da bo nekoč graščina njegova.	Vedno si je prizadeval, da bi obogatela sestra, ne on.	C		annotator_H	N	Hipoteza vključuje nove informacije, ki jih iz predpostavke ne moremo razbrati.	annotator_A					contradiction
P68	Lahko se odpovem zajtrku, kosilu, malici, večerja pa ima potem svojo vlogo.	Večerja je zame zelo važna.	N		annotator_B	C		annotator_A					neutral
P69	»Da nas ne bodo ujeli na nadzorne kamere.«	“Upam, da nas ne bodo posneli na njihove varnostne kamere.“	E		annotator_G	E		annotator_A				E	entailment
P70	Na Irskem bolj cenijo svoj denar, tako da je za kakih 7% več vreden od sterlinga.	Denar na Irskem nima tako velikega pomena, vrednost britanskega funta je za kar 7 odstotkov višja.	C		annotator_D	N		annotator_A					contradiction
P71	Program vključuje likovne delavnice, kiparske, bodypainting, likovni jamm session, RAKU, video delavnice, odrske delavnice, glasbo, ples in igralne ure za najmlajše.	V programu ostajata samo še likovna in kiparska delavnica, medtem ko smo morali poslikavo telesa, likovni jamm session, RAKU, video delavnice, odrske delavnice in glasbo, igralne ure ter ples za najmlajše izključiti iz programa.	C		annotator_B	C		annotator_A				C	contradiction
P72	Wallander mu je skušal kolikor mogoče na hitro pojasniti, kaj se je zgodilo.	Wallander je poskusil čim hitreje razložiti potek predhodnega dogajanja.	E		annotator_F	E		annotator_A				E	entailment
P73	Gnezdi v rovih v lesu, ki jih steše sama.	Najdemo jo lahko v puščavah, kjer si v pesek izkoplje rove.	C		annotator_B	N		annotator_A					contradiction
P74	Za dobro napisan komentar, obvestilo prijatelju ali vgnezdenje HDD WD 2.5, 500GB, SATA3Gb/s (WD5000BEKT) lahko prejmete tudi manjše dobroimetje , ki bo pocenilo vaše bodoče nakupe.	Vaš izviren komentar, sporočilo kolegu ali vznezdenje HDD WD 2.5, 500GB, SATA3Gb/s (WD5000BEKT) ne bo z ničimer nagrajeno, vaši nakupi ne bodo nič cenejši.	C		annotator_D	C		annotator_A				C	contradiction
P75	»Dobro,« je prikimal nagovorjeni in njegov glas se je dobrohotno omehčal.	“Prav,“ se je nagovorjeni raznežil in dobrovoljno odgovoril.	E		annotator_B	E		annotator_A				E	entailment
P76	Z dlanjo je zdrsel po njenem golem stegnu vse do nežnih oblin njenih ritnic.	Ko sta bila skupaj, ji je izkazal ljubezen z nežnim ljubkovanjem.	N		annotator_B	N		annotator_A				N	neutral
P77	Sedemkratni svetovni prvak formule 1 Michael Schumacher je prepričan, da bo naslov svetovnega prvaka v letošnji sezoni pripadel Sebastianu Vettlu. več	Schumi je prepričan, da bo tudi letos pometel z vso konkurenco in se še osmič zavihtel na prvo mesto.	C		annotator_C	C		annotator_A				C	contradiction
P78	DELAVCEM PRIPADAJO DODATKI ZA POSEBNE OBREMENITVE PRI DELU, NEUGODNE VPLIVE OKOLJA, NEVARNOST PRI DELU IN DELO V DELOVNEM ČASU, KI JE ZA DELAVCE MANJ UGODEN.	ZAKON DELAVCEM OMOGOČA PREJETJE DENARNIH DODATKOV ZA POSEBNO OBREMENJENOST NA DELOVNEM MESTU, NEUGODNE VPLIVE OKOLJA, NEVARNOST PRI DELU IN CELODNEVNO DEŽURSTVO.	N		annotator_C	E		annotator_A					neutral
P79	Ministrstvo odloca o vlogi za vpis v register z odlocbo v upravnem postopku.	Ministrstvo se mora pri svojem delu ravnati po Zakonu o splošnem upravnem postopku.	N		annotator_C	E		annotator_A					neutral
P80	V prežeči, prihuljeni drži, delno je skrit za potujočim grmom.	Ne glede na to, kako se je trudil, tam smo ga vsi videli.	C		annotator_G	N		annotator_A					contradiction
P81	Cilj strategije je izboljšati dostop evropskih podjetij na trge tretjih držav.	S tem načrtom se želimo osredotočiti na države tretjega sveta in evropska podjetja.	N		annotator_B	C		annotator_A					neutral
P82	Koralni greben je sestavljen iz koral – kolonij drobnih živalic, imenovanih polipi, ki imajo oporno snov iz apnenca.	Koralne kolonije, polne polipov, sestavljajo velik podvodni koralni greben.	N		annotator_C	E		annotator_A					neutral
P83	Zlasti naraščajo pojavi pljučnega in kožnega raka, raka ledvic, debelega črevesa in danke pri obeh spolih, pri ženskah raka dojk, pri moških pa rakov ustne votline in žrela ter mehurja in mod.	Zaradi povečanja števila kadilcev opažamo več pljučnega raka; pri ženskah sicer prednjači rak dojk, pri moških pa raki žrela ter sečil.	N		annotator_C	N		annotator_A				N	neutral
P84	Če je ne bi poznali, sploh ne bi mogli vedeti za resnico.	Tudi, če bi jo poznali, ne bi mogli vedeti ali je to laž ali ne.	C		annotator_B	N		annotator_A					contradiction
P85	Otroci Anton, Marija in Janko so poskrbeli, da jima življenje lepšajo štirje vnuki ter tri vnukinje.	Tako trije otroci kot sedem vnukov so velik zalogaj, ki otežkoča njuno življenje in ga grdi.	C		annotator_F	C		annotator_A				C	contradiction
P86	Športnorekreativno udejstvovanje je lahko tudi pomemben dejavnik pri ohranjanju in vzpostavljanju duševnega ravnovesja.	Rekreativno ukvarjanje s športom lahko signifikantno doprinese k mentalnemu ravnovesju.	E		annotator_C	E		annotator_A				E	entailment
P87	Glavni razlog so predvsem hormonske spremembe, ki nastopajo v menopavzi – zmanjšanje spolnih hormonov, predvsem estrogenov.	Poglavitni vzrok v največji meri predstavljajo hormonske spremembe, ki se pojavijo z menopavzo, mednje pa sodi upad spolnih hormonov, zlasti estrogenov.	E		annotator_C	E		annotator_A				E	entailment
P88	Bivši predsednik Milan Kučan je očitno še vedno v dobri formi, saj je na četrtem mestu (8).	Prvi predsednik v zgodovini samostojne Republike Slovenije po dvajsetih letih še kar preseneča s svojo izvrstno kondicijo.	N		annotator_C	C		annotator_A					neutral
P89	Pogledala je Liz in razumela sočutje, ki se ji je pokazalo v očeh.	Kljub temu da je pogled uperila v Liz, ni mogla razumeti sočutja, ki ga je ta kazala v očeh.	C		annotator_C	C		annotator_A				C	contradiction
P90	Izključil sem televizor in soba je ostala v temi, moja svetilka ni bila prižgana, ker mi sploh ni uspelo, da bi bral.	Soba še vedno ni bila razsvetljena, saj sem ugasnil televizijski sprejemnik, ker se nikakor nisem mogel pripraviti k branju, je moja luč je ostala ugasnjena.	E	Zdi se mi, da v izhodiščnem besedilu manjka podpičje ali kaj drugega, kar bi smiselno ločilo stavke.	annotator_C	E		annotator_A				E	entailment
P91	Pot po grebenu in povratek sta tehnično lažja, vendar orientacijsko zahtevnejša.	Pot ob slemenu je zelo zahtevna, preveč zahtevna za neizkušene, je pa dobro označena.	C		annotator_G	N		annotator_A					contradiction
P92	(1) Obliko in vsebino trošarinskega dokumenta predpiše minister, pristojen za finance.	(1) Trošarinski dokument je v vsem svojem obsegu v celoti pristojnost Ministrstva za okolje in prostor.	C		annotator_C	C		annotator_A				C	contradiction
P93	To ustavno sodišče v takšnih primerih ne zavrne predlagateljevega oziroma pobudnikovega zahtevka, pač pa ugotovi, da izpodbijana določba ni v neskladju z ustavo.	Predlagana zahteva v tovrstnih primerih s strani dotičnega ustavnega sodišča ni zavrnjena, podana pa je ugotovitev o ustavnosti določbe, ki se jo izpodbija.	E		annotator_C	E		annotator_A				E	entailment
P94	Sedaj je namreč velika verjetnost, da bo Zemlja v ne tako oddaljeni prihodnosti doživela velike spremembe.«	Našemu modremu planetu se verjetno v naslednjih desetletjih, stoletjih, tisočletjih obetajo ogromne spremembe.	N		annotator_B	N		annotator_A				N	neutral
P95	Okrog vitkega pasu ji je ležal težek usnjen pas z veliko srebrno zaponko.	Opasana je bila s peresno lahkim pasom iz blaga.	C		annotator_C	C		annotator_A				C	contradiction
P96	Na Irskem bolj cenijo svoj denar, tako da je za kakih 7% več vreden od sterlinga.	V Republiki Irski svojemu bogastvo pripisujejo večjo vrednost, zato je ta za cca 7 procentov dragocenejši kot britanski funt.	E		annotator_D	E		annotator_A				E	entailment
P97	V železni ponvi segrejemo maščobo in v njej zlato rumeno opečemo kroglice.	V aluminijastem loncu suho pražimo kroglice do zlato rjave barve.	C		annotator_F	C		annotator_A				C	contradiction
P98	Predmetna komisija za slovenščino je izvedla moderacijo navodil za vrednotenje za preizkus znanja iz slovenščine v naknadnem roku skupaj z 20 pomočniki glavne ocenjevalke.	Predmetna komisija za slovenščino, glavna ocenjevalka in njenih dvajset pomočnikov je imelo letos veliko dela, saj so izvedli moderacijo navodil za ocenjevanje preizkusa znanja v naknadem roku.	E		annotator_B	E		annotator_A				E	entailment
P99	Vnos vitaminov lahko pogosto povečamo preprosto tako, da pojemo več sveže hrane ter surovega sadja in zelenjave.	Če želimo biti bolj zdravi, bomo to dosegli z več vitamini, ki pa jih dobimo s sadjem in zelenjavo.	E		annotator_G	E		annotator_A				E	entailment
P100	Za glasovanje po pošti v tujini in na diplomatsko-konzularnih predstavništvih Republike Slovenije se smiselno uporabljajo določbe, ki veljajo za glasovanje v Republiki Sloveniji.	Državljani Slovenije lahko glasujejo tudi v tujini, a le če to storijo na ustreznih slovenskih predstavništvih, pod pogoji, ki veljajo tudi v Republiki Sloveniji, glasovanje z oddajo po pošti pa ni podprto.	C		annotator_F	N		annotator_A					contradiction
P101	Če pa začnemo pri virih podatkov in iz tega, kar imamo na voljo, zgradimo podatkovni model skladišča, je to pristop od spodaj navzgor.	Niti pristop od dna do neba niti od zgoraj navzdol ni zadosten način, kajti stvari še niso dodobra raziskane.	N		annotator_H	N		annotator_A				N	neutral
P102	V mesecu marcu smo na Festivalu Ljubljana pripravili številne zanimive dogodke, ki bodo popestrili dogajanje na Ljubljanskem gradu.	V prvi četrtini leta bo dogajanje v Ljubljani na vzpetino nad mestom privabilo turiste.	N		annotator_C	N		annotator_A				N	neutral
P103	Javna platforma v skupnost združuje ustvarjalke in ustvarjalce različnih področij kreativnih industrij in umetnosti.	Različni kreativni ustvarjalci in ustvarjalke se zbirajo na zasebni platformi.	C		annotator_C	C		annotator_A				C	contradiction
P104	Rodilo se je 8 otruok: pet puobčju an tri čičice, kar je zaries puno!	Osem novorojenčkov je privekalo na svet, in sicer pet fantičev ter tri punčke, to je res veliko.	E		annotator_C	E		annotator_A				E	entailment
P105	(1) Pravna oseba oziroma organ, pri katerem se opravlja nadzor (v nadaljnjem besedilu: pravna oseba) mora zagotoviti pooblaščenemu delavcu pogoje, ki mu omogočajo nemoteno delo.	Inšpektor za opravljanje nadzornega pregleda vedno potrebuje dovoljenje pravne osebe, pri kateri naj bi bil inšpektorski postopek izveden.	C		annotator_E	N		annotator_A					contradiction
P106	»PRAV NIČ NE KAŽE, DA BI BIL MORILEC TUJEC.	“Dovolj dokazov imamo, da lahko sklepamo, ali je umor zakrivil tujec ali kdo od tukaj.“	N		annotator_B	C		annotator_A					neutral
P107	»K tvojim starim staršem, babici in dedku?« je zanimalo Maka.	Maka ni prav nič zanimalo, kam grem ta vikend.	C		annotator_G	N		annotator_A					contradiction
P108	S spremembo položaja višjih tožilcev v novem zakonu bi se razkorak med vzporednostjo sodne in tožilske organizacije še povečal.	Spremenjena pozicija višjih tožilcev znotraj prenovljenega zakona bi dodatno pripomogla k povečanju razlike med vzporednostjo sodne in tožilske organizacije.	E		annotator_C	E		annotator_A				E	entailment
